model,task,accuracy,recall,precision,f1,system_fnr,system_precision,system_recall,system_f1
Random-Baseline,genrm_math,0.5085,0.5011750881316098,0.8642350557244174,0.634436593529193,0.4988249118683901,0.8642350557244174,0.5011750881316098,0.6344365935291929
Random-Baseline,genrm_deepscaler,0.482,0.481972038263429,0.6636271529888551,0.5583972719522592,0.5180279617365711,0.6636271529888551,0.481972038263429,0.5583972719522592
Random-Baseline,genrm_orz,0.5025,0.4974905897114178,0.8034447821681864,0.6144905075552112,0.5025094102885822,0.8034447821681864,0.4974905897114178,0.6144905075552111
Random-Baseline,genrm_skywork,0.482,0.4806017418844022,0.6149949341438703,0.5395555555555556,0.5193982581155978,0.6149949341438703,0.4806017418844022,0.5395555555555555
DeepSeek-R1-Distill-Qwen-1.5B,genrm_skywork,0.799,0.721298495645289,0.9479708636836629,0.8192446043165468,0.278701504354711,0.9479708636836629,0.721298495645289,0.8192446043165468
DeepSeek-R1-Distill-Qwen-1.5B,genrm_orz,0.8045,0.7685069008782937,0.9823576583801122,0.8623724040830694,0.2314930991217064,0.9823576583801122,0.7685069008782937,0.8623724040830694
DeepSeek-R1-Distill-Qwen-1.5B,genrm_deepscaler,0.835,0.7740986019131715,0.9786046511627907,0.8644207066557108,0.22590139808682855,0.9786046511627907,0.7740986019131715,0.8644207066557108
DeepSeek-R1-Distill-Qwen-1.5B,genrm_math,0.8065,0.7796709753231492,0.9910380881254668,0.8727392305162776,0.22032902467685075,0.9910380881254668,0.7796709753231492,0.8727392305162776
DeepSeek-R1-Distill-Qwen-7B,genrm_skywork,0.9065,0.8820269200316706,0.9670138888888888,0.9225672877846791,0.11797307996832937,0.9670138888888888,0.8820269200316706,0.9225672877846791
DeepSeek-R1-Distill-Qwen-7B,genrm_orz,0.939,0.9322459222082811,0.9906666666666667,0.9605688429217841,0.06775407779171895,0.9906666666666667,0.9322459222082811,0.9605688429217841
DeepSeek-R1-Distill-Qwen-7B,genrm_deepscaler,0.941,0.9271523178807947,0.9851446442533229,0.9552691432903715,0.0728476821192053,0.9851446442533229,0.9271523178807947,0.9552691432903715
DeepSeek-R1-Distill-Qwen-7B,genrm_math,0.9455,0.9418331374853114,0.9938003719776813,0.9671191553544495,0.058166862514688604,0.9938003719776813,0.9418331374853114,0.9671191553544495
xVerify-0.5B-I,genrm_skywork,0.914,0.8867775138558986,0.9747606614447345,0.9286898839137645,0.11322248614410134,0.9747606614447345,0.8867775138558986,0.9286898839137645
xVerify-0.5B-I,genrm_orz,0.9645,0.965495608531995,0.9897106109324759,0.9774531597332486,0.03450439146800502,0.9897106109324759,0.965495608531995,0.9774531597332486
xVerify-0.5B-I,genrm_deepscaler,0.947,0.9352465047829286,0.9860356865787432,0.9599697885196374,0.06475349521707138,0.9860356865787432,0.9352465047829286,0.9599697885196374
xVerify-0.5B-I,genrm_math,0.974,0.9759106933019976,0.993421052631579,0.9845880260818021,0.02408930669800235,0.993421052631579,0.9759106933019976,0.984588026081802
xVerify-3B-Ia,genrm_skywork,0.946,0.9247822644497229,0.9889923793395428,0.955810147299509,0.07521773555027712,0.9889923793395428,0.9247822644497229,0.9558101472995091
xVerify-3B-Ia,genrm_orz,0.9665,0.9623588456712673,0.9954574951330305,0.978628389154705,0.037641154328732745,0.9954574951330305,0.9623588456712673,0.978628389154705
xVerify-3B-Ia,genrm_deepscaler,0.9475,0.9323031640912436,0.98984375,0.9602122015915119,0.06769683590875644,0.98984375,0.9323031640912436,0.9602122015915119
xVerify-3B-Ia,genrm_math,0.9875,0.9882491186839013,0.997036158861885,0.9926231926822071,0.011750881316098707,0.997036158861885,0.9882491186839013,0.9926231926822071
Qwen2.5-1.5B-Instruct,genrm_skywork,0.896,0.8796516231195566,0.9520137103684662,0.91440329218107,0.12034837688044339,0.9520137103684662,0.8796516231195566,0.9144032921810701
Qwen2.5-1.5B-Instruct,genrm_orz,0.954,0.9504391468005019,0.9914921465968587,0.9705317104420244,0.04956085319949812,0.9914921465968587,0.9504391468005019,0.9705317104420245
Qwen2.5-1.5B-Instruct,genrm_deepscaler,0.9535,0.9506990434142752,0.9802731411229135,0.9652596189764662,0.049300956585724795,0.9802731411229135,0.9506990434142752,0.9652596189764663
Qwen2.5-1.5B-Instruct,genrm_math,0.9565,0.9559341950646298,0.9926784624771202,0.97395989224783,0.04406580493537015,0.9926784624771202,0.9559341950646298,0.9739598922478299
Qwen2.5-7B-Instruct,genrm_skywork,0.9125,0.880443388756928,0.9788732394366197,0.9270529387244685,0.11955661124307206,0.9788732394366197,0.880443388756928,0.9270529387244686
Qwen2.5-7B-Instruct,genrm_orz,0.942,0.9303638644918444,0.9966397849462365,0.9623621025308241,0.06963613550815559,0.9966397849462365,0.9303638644918444,0.9623621025308241
Qwen2.5-7B-Instruct,genrm_deepscaler,0.9535,0.9381898454746137,0.9929906542056075,0.9648127128263337,0.06181015452538632,0.9929906542056075,0.9381898454746137,0.9648127128263339
Qwen2.5-7B-Instruct,genrm_math,0.958,0.9535840188014101,0.9969287469287469,0.9747747747747748,0.046415981198589897,0.9969287469287469,0.9535840188014101,0.9747747747747748
Qwen2.5-Math-7B-Instruct,genrm_skywork,0.905,0.8812351543942993,0.9653078924544666,0.9213576158940397,0.1187648456057007,0.9653078924544666,0.8812351543942993,0.9213576158940397
Qwen2.5-Math-7B-Instruct,genrm_orz,0.9435,0.9341279799247177,0.9946559786239145,0.9634422516984794,0.06587202007528231,0.9946559786239145,0.9341279799247177,0.9634422516984795
Qwen2.5-Math-7B-Instruct,genrm_deepscaler,0.9555,0.9448123620309051,0.9892141756548536,0.9665035754610463,0.05518763796909492,0.9892141756548536,0.9448123620309051,0.9665035754610463
Qwen2.5-Math-7B-Instruct,genrm_math,0.9565,0.9529964747356052,0.9957028852056476,0.9738817172020414,0.04700352526439483,0.9957028852056476,0.9529964747356052,0.9738817172020414
Qwen2.5-Math-1.5B-Instruct,genrm_skywork,0.901,0.89944576405384,0.9411764705882353,0.9198380566801619,0.10055423594615993,0.9411764705882353,0.89944576405384,0.9198380566801618
Qwen2.5-Math-1.5B-Instruct,genrm_orz,0.945,0.9485570890840652,0.9818181818181818,0.9649010848755584,0.05144291091593475,0.9818181818181818,0.9485570890840652,0.9649010848755584
Qwen2.5-Math-1.5B-Instruct,genrm_deepscaler,0.953,0.9477557027225901,0.9824561403508771,0.9647940074906367,0.05224429727740986,0.9824561403508771,0.9477557027225901,0.9647940074906366
Qwen2.5-Math-1.5B-Instruct,genrm_math,0.958,0.9571092831962397,0.9932926829268293,0.9748653500897666,0.04289071680376028,0.9932926829268293,0.9571092831962397,0.9748653500897665
tiger-verifier,genrm_skywork,0.961,0.9580364212193191,0.979757085020243,0.9687750200160128,0.04196357878068092,0.979757085020243,0.9580364212193191,0.9687750200160128
tiger-verifier,genrm_orz,0.979,0.9799247176913425,0.9936386768447837,0.9867340492735313,0.020075282308657464,0.9936386768447837,0.9799247176913425,0.9867340492735313
tiger-verifier,genrm_deepscaler,0.9705,0.9654157468727005,0.9909365558912386,0.9780096906448006,0.034584253127299486,0.9909365558912386,0.9654157468727005,0.9780096906448005
tiger-verifier,genrm_math,0.983,0.9829612220916569,0.9970202622169249,0.9899408284023669,0.017038777908343124,0.9970202622169249,0.9829612220916569,0.989940828402367
r1-1.5b-trn_verifier-lr1e-4-0417-3epoch,genrm_skywork,0.89,0.8669833729216152,0.9546643417611159,0.9087136929460581,0.1330166270783848,0.9546643417611159,0.8669833729216152,0.9087136929460581
r1-1.5b-trn_verifier-lr1e-4-0417-3epoch,genrm_orz,0.944,0.9385194479297365,0.990728476821192,0.9639175257731959,0.06148055207026349,0.990728476821192,0.9385194479297365,0.963917525773196
r1-1.5b-trn_verifier-lr1e-4-0417-3epoch,genrm_deepscaler,0.9125,0.891832229580574,0.9774193548387097,0.932666410157753,0.10816777041942605,0.9774193548387097,0.891832229580574,0.9326664101577531
r1-1.5b-trn_verifier-lr1e-4-0417-3epoch,genrm_math,0.9305,0.9259694477085781,0.9918187539332913,0.9577635976906715,0.07403055229142186,0.9918187539332913,0.9259694477085781,0.9577635976906714
